id,brand,model,ram,hd_type,hd_size,screen_size,price,processor_brand,processor_model,clock_speed,graphic_card_brand,graphic_card_size,os,weight,comments
1,Dell,Inspiron 15-3567,4,hdd,1024,15.6,4000,intel,i5,2.5,intel,,linux,2.5,
2,Apple,MacBook Air,8,ssd,128,13.3,5550,intel,i5,1.8,intel,2,mac,1.35,
3,Apple,MacBook Air,8,ssd,256,13.3,7150,intel,i5,1.8,intel,2,mac,1.35,
4,Apple,MacBook Pro,8,ssd,128,13.3,9689,intel,i5,2.3,intel,2,mac,3.02,
5,Apple,MacBook Pro,8,ssd,256,13.3,11266,intel,i5,2.3,intel,2,mac,3.02,
6,Apple,MacBook Pro (TouchBar),16,ssd,512,15,22600,intel,i7,2.7,intel,2,mac,2.5,
7,Apple,MacBook Pro (TouchBar),16,ssd,512,13.3,15800,intel,i5,2.9,intel,2,mac,1.37,
8,Apple,MacBook ,8,ssd,256,12,9699,intel,core m,1.2,intel,2,mac,0.92,
9,Dell,Vostro 3468,4,hdd,1024,14,3323,intel,i3,2.4,intel,,linux,1.76,Integrated Graphics
10,Dell,Inspiron 15.6 3552,4,hdd,500,15,2199,intel,pentium N3710,1.6,intel,,linux,2.19,Integrated Graphics
11,Dell,Vostro 3468 ,4,hdd,1024,14,3593,intel,i3 ,2.4,intel,,windows,1.76,Integrated Graphics
12,Dell,Inspiron 14 3442,4,hdd,500,14,3090,intel,i3,1.7,intel,,linux,3.1,Integrated Graphics
13,Dell,Inspiron 15 3567,4,hdd,1024,15.6,3599,intel,i3,2.3,intel,,windows,3.24,Integrated Graphics
14,Dell,Vostro 3568,4,hdd,500,15.6,2490,intel,Celeron 3855U,1.6,intel,,linux,2.5,Integrated Graphics
15,Dell,Inspiron 15 3565,4,hdd,500,15,2099,amd,E2,1.8,amd,,linux,2.3,Integrated Graphics
16,Acer,Predator Helios 300,16,ssd,1024,15.6,10184,intel,i7,2.8,nvidia,6,windows,2.7,Gaming Laptop
17,Dell,Latitude 3480,4,hdd,500,14,2887,intel,i3,2,intel,,linux,1.8,Integrated Graphics
